key,zh-CN,en-US
nav.home,首页,Home
nav.flow,工作流,Workflow
nav.component,组件支持,Components
nav.contrast,模型示例,Code Examples
nav.module,扩展模块,Extensions
nav.donate,捐赠指南,Donate
nav.doc,使用文档,Documentation
nav.demo,演示DEMO,Demo
nav.cloud,Erupt Cloud,Erupt Cloud
cloud.hero.kicker,DISTRIBUTED CONFIG,DISTRIBUTED CONFIG
cloud.hero.title,Erupt Cloud,Erupt Cloud
cloud.hero.sub,面向微服务与集群的「多维表」云配置能力：集中管理、轻量依赖，让集群内每个服务都能以注解方式获得一致的数据可视化管理体验。,"Cloud-native multidimensional table configuration for clusters: centralized management, light dependencies, and consistent annotation-driven admin across services."
cloud.badge.config,多维配置中心,Multi-dim config
cloud.badge.cluster,集群 / 多节点,Cluster & nodes
cloud.badge.light,轻依赖,Lightweight
cloud.badge.visual,服务可视化,Service visibility
cloud.cta.doc,阅读文档,Read docs
cloud.cta.github,GitHub 源码,GitHub
cloud.diagram.console,多维管理台,Admin plane
cloud.features.title,核心能力,Capabilities
cloud.features.desc,与开源 Erupt 注解体系一脉相承，把「对象视图模型」延伸到分布式场景：配置上行、能力下行，开发与运维协作更顺滑。,"Built on the same annotation model as open-source Erupt, extending OVM to distributed setups—smoother dev and ops handoff."
cloud.features.f1.title,分布式多维配置,Distributed multidimensional config
cloud.features.f1.desc,在云端统一维护多维表、节点与策略，各服务实例按需同步，降低分散配置带来的不一致风险。,"Centralize multidimensional schemas and policies; instances sync on demand, reducing configuration drift."
cloud.features.f2.title,轻依赖、可演进,Lightweight & evolvable
cloud.features.f2.desc,以最小侵入方式接入现有 Spring Boot / 微服务体系，版本与主工程对齐，便于持续升级。,Minimal intrusion into Spring Boot and microservices; align versions with the main Erupt stack for easier upgrades.
cloud.features.f3.title,Node 与拓扑,Nodes & topology
cloud.features.f3.desc,通过 Node 配置将集群内服务纳入同一视图，配合控制台理解调用与数据面关系。,Register services via node configuration and understand topology and data relationships in one console.
cloud.features.f4.title,集群内数据可视化,In-cluster data UI
cloud.features.f4.desc,让集群中的业务服务也能挂载 Erupt 管理界面，无需为每个子系统重复搭建后台脚手架。,Expose Erupt admin UIs on business services without rebuilding admin scaffolding per subsystem.
cloud.docs.d1.title,概述与多维配置,Overview & multidimensional config
cloud.docs.d1.desc,Erupt Cloud 定位、能力与整体架构说明。,"Positioning, capabilities, and architecture."
cloud.docs.d2.title,集成与依赖,Integration & dependencies
cloud.docs.d2.desc,工程引入、依赖管理与基础配置要点。,How to add dependencies and baseline configuration.
cloud.docs.d3.title,开发与使用,Development & usage
cloud.docs.d3.desc,日常开发、注解与常见使用场景说明。,"Day-to-day development, annotations, and common scenarios."
cloud.docs.d4.title,Node 与服务可视化,Nodes & service visualization
cloud.docs.d4.desc,配置 Node 节点，在集群拓扑中可视化并管理任意服务。,Configure nodes to visualize and manage services across the cluster.
cloud.docs.read,打开文档,Open
cloud.maven.title,Maven 依赖示例,Maven dependency
cloud.maven.hint,版本号请与主工程 xyz.erupt:erupt 保持一致；服务端/客户端模块以语雀文档为准。,Use the same version as xyz.erupt:erupt; see Yuque for server vs client modules.
cloud.maven.serverHint,若需独立 Cloud 服务端能力，语雀中可能另有 erupt-cloud-server 等模块，请按文档组合引入。,Yuque may list additional artifacts such as erupt-cloud-server; combine as documented.
cloud.scenarios.title,典型场景,Typical scenarios
cloud.scenarios.desc,以下场景特别适合引入 Erupt Cloud，把「后台能力」当成集群内可编排的基础设施。,"These scenarios fit Erupt Cloud well—treat admin UIs as cluster-wide, orchestratable infrastructure."
cloud.scenarios.s1.title,多环境 / 多租户配置统一,Unified config across envs / tenants
cloud.scenarios.s1.desc,开发、预发、生产多套集群中，希望同一套多维表定义与权限策略可集中修订、分级下发。,"Revise multidimensional definitions and policies once, roll out per environment with less drift."
